numero_dpe,date_etablissement_dpe,annee_construction,periode_construction,type_batiment,etiquette_dpe,etiquette_ges,adresse_ban,code_postal_ban,nom_commune_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,surface_habitable_logement,hauteur_sous_plafond,qualite_isolation_enveloppe,qualite_isolation_murs,qualite_isolation_menuiseries,qualite_isolation_plancher_bas,deperditions_enveloppe,deperditions_murs,type_energie_principale_chauffage,conso_5_usages_par_m2_ep,emission_ges_5_usages,cout_total_5_usages,classe_inertie_batiment,zone_climatique,nombre_niveau_logement,nombre_niveau_immeuble
2675E0070160O,2026-01-12,,avant 1948,appartement,F,C,6 Rue Alphand 75013 Paris,75013,Paris,652219.56,6858850.73,21.1,1.8,insuffisante,insuffisante,insuffisante,insuffisante,113.1,41.8,Électricité,461.0,385.7,1128.1,Légère,H1a,1.0,
2675E0070540E,2026-01-12,,avant 1948,appartement,D,B,6 Cité du Labyrinthe 75020 Paris,75020,Paris,654931.0,6863185.06,25.8,2.6,moyenne,insuffisante,moyenne,insuffisante,41.6,6.4,Électricité,218.0,211.4,745.6,Moyenne,H1a,1.0,
2675E0017211B,2026-01-05,1900.0,avant 1948,appartement,D,B,54 Rue Dombasle 75015 Paris,75015,Paris,648723.34,6859710.24,30.0,2.5,insuffisante,insuffisante,bonne,très bonne,49.7,20.4,Électricité,202.0,232.0,930.0,Moyenne,H1a,1.0,
2675E0072498M,2026-01-12,,1989-2000,appartement,C,C,36 Rue de la Croix Nivert 75015 Paris,75015,Paris,648555.62,6860919.11,47.2,2.5,insuffisante,moyenne,bonne,moyenne,3729.0,690.0,Réseau de Chauffage urbain,165.0,1287.8,724.7,Lourde,H1a,1.0,7.0
2675E0078008K,2026-01-12,1972.0,1948-1974,appartement,D,D,7 Rue Nicolas Houël 75005 Paris,75005,Paris,653161.33,6860419.59,34.4,2.5,insuffisante,insuffisante,insuffisante,insuffisante,26298.0,3927.8,Réseau de Chauffage urbain,221.0,1351.5,692.9,Moyenne,H1a,1.0,11.0
2675E0025829N,2026-01-06,,avant 1948,appartement,D,D,36 Avenue Hoche 75008 Paris,75008,Paris,648610.5,6864200.91,91.6,2.7,moyenne,insuffisante,moyenne,insuffisante,321.1,137.3,Gaz naturel,208.0,4196.6,2059.1,Moyenne,H1a,1.0,
2675E0048264K,2026-01-08,1948.0,1948-1974,appartement,G,C,25 Rue Ramey 75018 Paris,75018,Paris,652092.41,6865576.76,23.0,3.2,insuffisante,insuffisante,insuffisante,bonne,171.8,69.7,Électricité,656.0,610.2,1685.0,Moyenne,H1a,1.0,
2675E0020383B,2026-01-06,,1948-1974,appartement,F,E,15 Rue Jean Lantier 75001 Paris,75001,Paris,651987.19,6862277.75,45.0,2.7,insuffisante,insuffisante,bonne,très bonne,175.1,93.8,Réseau de Chauffage urbain,351.0,2706.6,1503.8,Moyenne,H1a,1.0,
2675E0045750S,2026-01-08,,avant 1948,appartement,F,E,87 Boulevard Saint-Michel 75005 Paris,75005,Paris,651556.87,6860778.27,188.0,3.9,insuffisante,insuffisante,insuffisante,très bonne,826.1,375.9,Réseau de Chauffage urbain,354.0,11950.3,6026.3,Légère,H1a,1.0,
2175E0598391Y,2021-10-29,1947.0,avant 1948,appartement,G,C,8 Rue Auguste Barbier 75011 Paris,75011,Paris,653891.59,6863366.38,17.2,2.8,insuffisante,insuffisante,insuffisante,très bonne,142.4,77.4,Électricité,772.1,536.3,1193.8,Moyenne,H1a,1.0,
2675E0076790O,2026-01-12,1955.0,1948-1974,appartement,E,D,59 Rue de la Colonie 75013 Paris,75013,Paris,652309.04,6858411.66,63.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,3950.9,1872.7,Réseau de Chauffage urbain,268.0,2902.9,1551.5,Légère,H1a,1.0,5.0
2175E0748124X,2021-11-23,1948.0,1948-1974,appartement,E,E,7 Rue Montéra 75012 Paris,75012,Paris,656555.29,6860710.06,57.9,2.5,insuffisante,insuffisante,insuffisante,très bonne,182.5,81.5,Électricité,266.1,3387.2,1004.0,Lourde,H1a,1.0,
2675E0051993V,2026-01-08,,avant 1948,appartement,E,B,17 Rue Pierre Leroux 75007 Paris,75007,Paris,650048.27,6861210.96,21.3,2.4,bonne,insuffisante,moyenne,très bonne,72.2,29.1,Électricité,324.0,271.3,845.6,Légère,H1a,1.0,
2675E0024342I,2026-01-06,,1948-1974,appartement,E,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,58.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,278.0,2820.5,1470.1,Très lourde,H1a,1.0,10.0
2675E0075959P,2026-01-12,1948.0,1948-1974,appartement,C,C,8 Rue des Mariniers 75014 Paris,75014,Paris,649474.86,6858790.6,48.8,2.5,insuffisante,insuffisante,très bonne,très bonne,123.9,50.8,Réseau de Chauffage urbain,157.0,1316.5,731.0,Très lourde,H1a,1.0,1.0
2675E0051480C,2026-01-08,,avant 1948,appartement,F,F,3b Rue Jean-Marie Jégo 75013 Paris,75013,Paris,652380.12,6858886.21,36.6,2.6,insuffisante,insuffisante,bonne,très bonne,194.0,122.6,Gaz naturel,417.0,3241.8,1736.3,Légère,H1a,1.0,
2675E0020271T,2026-01-06,,avant 1948,appartement,E,C,36 Rue Serpente 75006 Paris,75006,Paris,651638.62,6861587.0,23.5,2.2,insuffisante,insuffisante,bonne,très bonne,66.5,22.1,Électricité,329.0,300.4,929.1,Légère,H1a,1.0,
2675E0072370O,2026-01-12,,avant 1948,appartement,G,C,11 Rue Camille Crespin du Gast 75011 Paris,75011,Paris,654658.92,6863046.74,27.1,2.5,insuffisante,insuffisante,bonne,très bonne,138.9,75.2,Électricité,500.0,542.2,1524.7,Moyenne,H1a,1.0,
