numero_dpe,date_etablissement_dpe,annee_construction,periode_construction,type_batiment,etiquette_dpe,etiquette_ges,adresse_ban,code_postal_ban,nom_commune_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,surface_habitable_logement,hauteur_sous_plafond,qualite_isolation_enveloppe,qualite_isolation_murs,qualite_isolation_menuiseries,qualite_isolation_plancher_bas,deperditions_enveloppe,deperditions_murs,type_energie_principale_chauffage,conso_5_usages_par_m2_ep,emission_ges_5_usages,cout_total_5_usages,classe_inertie_batiment,zone_climatique,nombre_niveau_logement,nombre_niveau_immeuble
2675E0066340Q,2026-01-10,,avant 1948,appartement,F,C,19 Rue Bénard 75014 Paris,75014,Paris,650289.98,6859247.91,26.2,2.5,insuffisante,insuffisante,moyenne,très bonne,118.3,40.2,Électricité,447.0,470.9,1337.2,Légère,H1a,1.0,
2675E0061188M,2026-01-09,,avant 1948,appartement,E,B,10 Rue Bayen 75017 Paris,75017,Paris,648306.48,6864596.49,59.2,2.9,bonne,insuffisante,très bonne,très bonne,157.0,71.6,Électricité,255.0,599.0,1690.0,Lourde,H1a,1.0,
2175E0781220V,2021-11-26,1947.0,avant 1948,appartement,F,C,201 Rue du Faubourg Saint-Martin 75010 Paris,75010,Paris,653324.35,6864628.16,29.0,2.5,insuffisante,insuffisante,moyenne,très bonne,124.0,77.0,Électricité,424.9,493.2,1114.5,Moyenne,H1a,1.0,
2675E0005561Z,2026-01-03,,avant 1948,appartement,D,D,16 Rue Ernest Cresson 75014 Paris,75014,Paris,650750.39,6859400.33,44.8,2.5,bonne,insuffisante,moyenne,très bonne,106.0,41.9,Gaz naturel,248.0,1949.5,1089.8,Moyenne,H1a,1.0,
2675E0044357D,2026-01-08,1965.0,1948-1974,appartement,C,C,86 Avenue Daumesnil 75012 Paris,75012,Paris,654690.27,6860572.0,109.7,2.5,bonne,insuffisante,moyenne,très bonne,251.5,58.7,Réseau de Chauffage urbain,156.0,3023.9,1578.3,Lourde,H1a,1.0,
2175E0940194F,2021-12-14,1800.0,avant 1948,appartement,E,C,12 Rue Saint-Nicolas 75012 Paris,75012,Paris,654079.3,6861355.53,17.0,2.7,insuffisante,insuffisante,insuffisante,,57.9,29.2,Électricité,362.4,239.1,614.0,,H1a,1.0,
2675E0009047B,2026-01-05,,avant 1948,appartement,D,B,24 Rue Sainte-Félicité 75015 Paris,75015,Paris,648929.52,6860107.95,28.5,2.6,insuffisante,insuffisante,moyenne,très bonne,65.1,29.2,Électricité,241.0,266.7,845.4,Légère,H1a,1.0,
2675E0040502W,2026-01-07,,avant 1948,appartement,E,C,5 Rue de l'Essai 75005 Paris,75005,Paris,652896.01,6860141.19,39.5,2.5,insuffisante,insuffisante,moyenne,très bonne,121.6,38.4,Électricité,305.0,481.1,1372.2,Légère,H1a,1.0,
2675E0005594G,2026-01-03,,avant 1948,appartement,G,C,35 Rue du Laos 75015 Paris,75015,Paris,648741.46,6861185.68,14.8,2.6,insuffisante,insuffisante,moyenne,très bonne,92.9,27.5,Électricité,622.0,365.5,1077.0,Légère,H1a,1.0,
2175E0755233I,2021-11-23,1960.0,1948-1974,appartement,G,A,17 Rue de Javel 75015 Paris,75015,Paris,647194.74,6860977.17,63.4,2.5,insuffisante,insuffisante,insuffisante,très bonne,398.6,85.2,Électricité,429.4,19.9,2162.7,Moyenne,H1a,6.0,
2675E0020994O,2026-01-06,1913.0,avant 1948,appartement,F,F,83 Avenue Emile Zola 75015 Paris,75015,Paris,647705.77,6860977.65,52.5,3.1,insuffisante,insuffisante,moyenne,moyenne,263.8,143.1,Gaz naturel,397.8,4588.8,2236.0,Lourde,H1a,1.0,
2675E0009903Z,2026-01-05,1945.0,avant 1948,immeuble,E,C,29 Quai d'Anjou 75004 Paris,75004,Paris,652866.59,6861541.51,,2.5,insuffisante,insuffisante,insuffisante,insuffisante,1861.2,518.4,Électricité,312.0,6336.0,17990.0,Lourde,H1a,,7.0
2675E0070523N,2026-01-12,,avant 1948,appartement,F,F,123 Boulevard Masséna 75013 Paris,75013,Paris,653209.34,6857874.25,51.0,2.6,insuffisante,insuffisante,moyenne,très bonne,250.6,120.8,Gaz naturel,361.0,4065.3,1803.3,Légère,H1a,1.0,
2675E0023709Z,2026-01-06,,1948-1974,appartement,E,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,30.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,293.0,1543.9,802.2,Très lourde,H1a,1.0,10.0
2675E0053634Y,2026-01-09,,1975-1977,appartement,C,C,30 Rue de Paradis 75010 Paris,75010,Paris,652474.84,6864102.97,31.1,3.0,très bonne,insuffisante,très bonne,très bonne,50.4,15.3,Réseau de Chauffage urbain,157.0,749.7,504.5,Lourde,H1a,1.0,
2675E0018288M,2026-01-05,,avant 1948,appartement,E,E,73 Rue de la Convention 75015 Paris,75015,Paris,647499.39,6860532.28,39.4,2.5,insuffisante,insuffisante,très bonne,insuffisante,16185.0,9298.7,Réseau de Chauffage urbain,296.0,2054.3,1062.5,Lourde,H1a,1.0,7.0
2575E2287980H,2025-07-02,1945.0,avant 1948,maison,E,B,190 Rue de Vaugirard 75015 Paris,75015,Paris,649259.52,6860416.19,34.4,2.7,insuffisante,insuffisante,moyenne,très bonne,130.4,37.8,Électricité,260.2,344.0,1050.0,Lourde,H1a,1.0,1.0
2675E0067502I,2026-01-11,,avant 1948,appartement,E,B,38 Rue de Saintonge 75003 Paris,75003,Paris,653315.25,6862706.03,36.0,2.9,bonne,insuffisante,moyenne,très bonne,94.2,32.2,Électricité,265.0,376.9,1110.6,Légère,H1a,1.0,
2175E0772916L,2021-11-25,1947.0,avant 1948,appartement,D,B,74 Rue Jean-Pierre Timbaud 75011 Paris,75011,Paris,654205.86,6863198.31,30.0,2.7,insuffisante,insuffisante,moyenne,très bonne,71.1,24.8,Électricité,250.5,294.7,722.3,Moyenne,H1a,1.0,
2675E0080560O,2026-01-12,,avant 1948,appartement,D,C,283 Boulevard Voltaire 75011 Paris,75011,Paris,655582.38,6861204.81,76.0,2.8,insuffisante,insuffisante,bonne,très bonne,151.0,85.8,Gaz naturel,206.0,1633.1,1705.9,Moyenne,H1a,1.0,
2175E0493710T,2021-10-13,1975.0,1975-1977,appartement,E,D,22 Boulevard Kellermann 75013 Paris,75013,Paris,652757.15,6858007.35,45.8,2.5,insuffisante,insuffisante,insuffisante,très bonne,135.9,16.0,Électricité,262.0,1926.2,965.7,Lourde,H1a,1.0,
2675E0008803R,2026-01-05,,avant 1948,appartement,E,B,56 Avenue des Gobelins 75013 Paris,75013,Paris,652557.93,6859486.88,22.3,2.7,bonne,insuffisante,moyenne,insuffisante,54.6,15.5,Électricité,305.0,263.3,837.4,Légère,H1a,1.0,
2675E0080600C,2026-01-12,,avant 1948,appartement,C,A,97 Rue Saint-Honoré 75001 Paris,75001,Paris,651805.84,6862562.93,25.1,2.5,très bonne,insuffisante,moyenne,très bonne,44.9,9.6,Électricité,165.0,153.1,572.9,Légère,H1a,1.0,
2675E0024100A,2026-01-06,,1948-1974,appartement,E,E,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,41.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,285.0,2050.6,1067.1,Très lourde,H1a,1.0,10.0
2675E0075208S,2026-01-12,,avant 1948,appartement,D,D,13 Rue Jules Simon 75015 Paris,75015,Paris,648121.12,6860260.58,52.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,14388.7,6661.1,Réseau de Chauffage urbain,208.0,1921.9,990.2,Lourde,H1a,1.0,9.0
2675E0024915J,2026-01-06,,avant 1948,appartement,D,D,41 Rue la Bruyère 75009 Paris,75009,Paris,651081.77,6864607.08,191.3,2.9,moyenne,insuffisante,insuffisante,très bonne,503.6,179.3,Gaz naturel,155.0,6531.0,3123.3,Moyenne,H1a,1.0,
2675E0023931N,2026-01-06,,1948-1974,appartement,E,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,59.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,277.0,2864.9,1493.3,Très lourde,H1a,1.0,10.0
2675E0041250Q,2026-01-07,1850.0,avant 1948,appartement,D,D,101 Rue de Montreuil 75011 Paris,75011,Paris,655523.1,6861350.05,82.8,3.0,insuffisante,insuffisante,bonne,,212.6,113.1,Gaz naturel,197.2,3577.7,1790.0,Lourde,H1a,1.0,
2675E0004225P,2026-01-02,,avant 1948,appartement,E,D,62 Rue du Dessous des Berges 75013 Paris,75013,Paris,654022.35,6858819.47,89.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,23904.0,11877.2,Réseau de Chauffage urbain,272.0,3637.9,2386.3,Lourde,H1a,1.0,6.0
2675E0066102M,2026-01-10,,avant 1948,appartement,F,F,99 Rue Damrémont 75018 Paris,75018,Paris,651392.63,6866286.84,96.0,2.6,insuffisante,insuffisante,moyenne,très bonne,522.7,87.4,Gaz naturel,376.0,7975.7,3719.3,Légère,H1a,1.0,
2675E0024569B,2026-01-06,,1948-1974,appartement,E,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,58.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,278.0,2820.5,1470.1,Très lourde,H1a,1.0,10.0
2475E3055900Q,2024-09-02,1945.0,avant 1948,appartement,E,E,11 Rue Armand Carrel 75019 Paris,75019,Paris,654534.22,6864898.76,30.3,2.7,insuffisante,insuffisante,bonne,très bonne,97.7,68.8,Gaz naturel,255.2,1634.6,956.0,Moyenne,H1a,1.0,1.0
2675E0019655B,2026-01-06,,avant 1948,appartement,F,C,68 Rue du Moulin Vert 75014 Paris,75014,Paris,650127.31,6859214.84,49.3,2.7,insuffisante,insuffisante,bonne,très bonne,175.3,73.6,Électricité,334.0,662.8,1830.8,Légère,H1a,6.0,
2675E0016744C,2026-01-05,,avant 1948,appartement,D,B,7 Rue des Filles du Calvaire 75003 Paris,75003,Paris,653433.87,6862676.83,21.5,2.7,bonne,insuffisante,moyenne,très bonne,46.6,18.6,Électricité,249.0,205.4,691.6,Légère,H1a,1.0,
2675E0040815X,2026-01-07,1800.0,avant 1948,appartement,E,B,58 Rue Marguerite de Rochechouart 75009 Paris,75009,Paris,652071.25,6864703.33,39.0,2.6,insuffisante,insuffisante,moyenne,insuffisante,91.8,34.7,Électricité,259.0,396.5,1170.9,Légère,H1a,1.0,
2675E0021578A,2026-01-06,1900.0,avant 1948,appartement,D,D,23 Rue du Docteur Heulin 75017 Paris,75017,Paris,650390.6,6865799.71,44.1,2.5,insuffisante,insuffisante,bonne,très bonne,93.8,38.3,Gaz naturel,160.0,1502.0,949.0,Moyenne,H1a,1.0,
2675E0080936A,2026-01-12,1956.0,1948-1974,appartement,D,B,6t Boulevard Delessert 75016 Paris,75016,Paris,647576.12,6862336.23,34.7,2.6,insuffisante,insuffisante,moyenne,très bonne,147.1,65.0,Électricité,223.0,296.4,931.3,Légère,H1a,1.0,
2675E0055671H,2026-01-09,,avant 1948,appartement,D,B,118 Rue de Meaux 75019 Paris,75019,Paris,654679.78,6865252.01,32.6,2.6,insuffisante,insuffisante,très bonne,très bonne,78.6,31.9,Électricité,258.0,326.8,998.2,Moyenne,H1a,1.0,
2675E0075137Z,2026-01-12,,avant 1948,appartement,D,D,13 Rue Jules Simon 75015 Paris,75015,Paris,648121.12,6860260.58,54.1,2.5,insuffisante,insuffisante,moyenne,insuffisante,14388.7,6661.1,Réseau de Chauffage urbain,207.0,1987.6,1024.4,Lourde,H1a,1.0,9.0
2675E0078859D,2026-01-12,,avant 1948,appartement,E,E,21 Rue Duret 75016 Paris,75016,Paris,647626.36,6864086.41,35.0,2.8,bonne,insuffisante,bonne,insuffisante,109.4,41.6,Gaz naturel,311.0,1898.5,1191.6,Moyenne,H1a,1.0,
2675E0002206Y,2026-01-02,1909.0,avant 1948,appartement,C,C,45 Boulevard Exelmans 75016 Paris,75016,Paris,645848.38,6860457.84,28.0,2.6,bonne,très bonne,très bonne,très bonne,920.6,80.3,Gaz naturel,138.0,819.4,388.4,Lourde,H1a,1.0,5.0
2675E0035249V,2026-01-07,,2013-2021,appartement,C,C,60 Avenue Parmentier 75011 Paris,75011,Paris,654268.27,6862694.31,76.3,2.6,très bonne,très bonne,très bonne,très bonne,2949.3,498.0,Gaz naturel,87.0,1300.9,657.6,Légère,H1a,1.0,10.0
2675E0078273P,2026-01-12,,avant 1948,appartement,G,C,8 Passage du Génie 75012 Paris,75012,Paris,655206.25,6861134.76,17.1,3.8,moyenne,très bonne,bonne,insuffisante,90.5,9.1,Électricité,526.0,355.6,1056.2,Moyenne,H1a,1.0,
2675E0030838E,2026-01-07,,avant 1948,appartement,D,D,7 Rue Campagne Première 75014 Paris,75014,Paris,651053.65,6860209.16,53.5,2.5,bonne,insuffisante,moyenne,très bonne,137.5,59.3,Gaz naturel,208.0,2421.5,1288.3,Légère,H1a,1.0,
2675E0081548O,2026-01-12,,avant 1948,appartement,F,F,39 Rue Pétion 75011 Paris,75011,Paris,654538.89,6862400.5,48.4,2.5,bonne,insuffisante,moyenne,très bonne,136.4,34.8,Fioul domestique,268.0,4054.5,1921.4,Moyenne,H1a,1.0,
2675E0004273L,2026-01-02,,avant 1948,appartement,E,D,62 Rue du Dessous des Berges 75013 Paris,75013,Paris,654022.35,6858819.47,28.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,23904.0,11877.2,Réseau de Chauffage urbain,319.0,1188.9,988.5,Lourde,H1a,1.0,6.0
2675E0066261P,2026-01-10,1900.0,avant 1948,appartement,C,A,2 Square Alice 75014 Paris,75014,Paris,649632.0625,6858736.5,38.7,2.8,insuffisante,insuffisante,très bonne,,40.2,14.8,Électricité,178.9,264.9,849.0,Moyenne,H1a,1.0,
2175E0807487C,2021-11-30,1947.0,avant 1948,appartement,E,C,183 Rue du Faubourg Saint-Denis 75010 Paris,75010,Paris,652906.09,6864755.98,38.0,2.4,insuffisante,insuffisante,insuffisante,très bonne,118.0,63.0,Électricité,317.0,478.0,1091.7,Moyenne,H1a,1.0,
2675E0023209T,2026-01-06,,1948-1974,appartement,C,C,11 Quai de la Gironde 75019 Paris,75019,Paris,654882.7,6866155.83,55.6,2.5,très bonne,insuffisante,très bonne,très bonne,112.4,33.4,Gaz naturel,132.0,1562.3,710.1,Lourde,H1a,1.0,
2675E0035321P,2026-01-07,,2013-2021,appartement,C,C,60 Avenue Parmentier 75011 Paris,75011,Paris,654268.27,6862694.31,53.6,2.6,très bonne,très bonne,très bonne,très bonne,2949.3,498.0,Gaz naturel,94.0,988.9,498.5,Légère,H1a,1.0,10.0
2375E1484734D,2023-02-23,1945.0,avant 1948,appartement,C,A,27 Rue des Morillons 75015 Paris,75015,Paris,648488.41,6859524.73,12.7,2.6,bonne,bonne,moyenne,très bonne,18.6,1.9,Électricité,194.7,88.8,332.0,Légère,H1a,6.0,6.0
2675E0076853Z,2026-01-12,1920.0,avant 1948,appartement,E,B,11 Rue de la Voûte 75012 Paris,75012,Paris,656446.19,6860743.79,24.6,2.8,moyenne,insuffisante,moyenne,très bonne,71.8,29.5,Électricité,289.0,279.5,868.2,Lourde,H1a,1.0,
2675E0044174C,2026-01-07,1945.0,avant 1948,appartement,G,G,8 Rue du Commandeur 75014 Paris,75014,Paris,650924.73,6858922.04,34.5,2.7,insuffisante,insuffisante,insuffisante,très bonne,195.2,109.1,Gaz naturel,529.0,4034.2,1758.0,Moyenne,H1a,1.0,1.0
2675E0004348I,2026-01-02,,avant 1948,appartement,E,D,62 Rue du Dessous des Berges 75013 Paris,75013,Paris,654022.35,6858819.47,40.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,23904.0,11877.2,Réseau de Chauffage urbain,302.0,1675.0,1275.9,Lourde,H1a,1.0,6.0
2675E0046603N,2026-01-08,,avant 1948,appartement,D,B,24 Rue Durantin 75018 Paris,75018,Paris,651345.21,6865338.57,32.5,2.5,très bonne,insuffisante,bonne,très bonne,84.5,34.7,Électricité,238.0,305.2,930.9,Lourde,H1a,1.0,
2675E0014343T,2026-01-05,,1948-1974,appartement,E,E,113 Rue des Grands Champs 75020 Paris,75020,Paris,656546.69,6861520.75,59.6,2.5,insuffisante,insuffisante,moyenne,très bonne,190.8,55.3,Gaz naturel,301.0,3897.8,1730.1,Lourde,H1a,1.0,
2675E0060616M,2026-01-09,,avant 1948,appartement,D,D,48 Rue de Moscou 75008 Paris,75008,Paris,650317.68,6864864.23,52.7,2.7,bonne,insuffisante,moyenne,très bonne,140.9,66.4,Gaz naturel,225.0,2592.6,1353.6,Lourde,H1a,1.0,
2675E0039915H,2026-01-07,1967.0,1948-1974,appartement,C,C,80 Rue Didot 75014 Paris,75014,Paris,649805.23,6858958.2,83.8,2.5,insuffisante,insuffisante,très bonne,,180.1,55.3,Réseau de Chauffage urbain,170.0,2496.2,1333.0,Moyenne,H1a,1.0,
2675E0036687D,2026-01-07,,avant 1948,appartement,E,C,8 Rue Bochart de Saron 75009 Paris,75009,Paris,651805.82,6864711.99,11.6,2.6,insuffisante,insuffisante,moyenne,très bonne,45.1,19.7,Électricité,444.0,200.8,673.1,Légère,H1a,1.0,
2675E0020811N,2026-01-06,,avant 1948,appartement,F,C,1 Rue Troyon 75017 Paris,75017,Paris,648350.27,6864176.87,53.5,2.4,moyenne,insuffisante,insuffisante,très bonne,201.2,88.8,Électricité,354.0,764.4,2089.3,Moyenne,H1a,1.0,
2675E0033405X,2026-01-07,,1948-1974,immeuble,C,C,13 Boulevard Exelmans 75016 Paris,75016,Paris,646117.58,6860258.62,,2.5,insuffisante,insuffisante,insuffisante,bonne,1579.6,226.0,Réseau de Chauffage urbain,146.0,28950.9,14164.2,Légère,H1a,,7.0
2675E0071694O,2026-01-12,,2013-2021,appartement,B,B,1 Rue Cantagrel 75013 Paris,75013,Paris,654329.1,6858635.69,71.4,2.5,très bonne,très bonne,très bonne,très bonne,718.3,180.9,Réseau de Chauffage urbain,59.0,701.5,413.8,Très lourde,H1a,1.0,8.0
2675E0076828A,2026-01-12,1955.0,1948-1974,appartement,E,D,59 Rue de la Colonie 75013 Paris,75013,Paris,652309.04,6858411.66,52.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,3322.9,1602.3,Réseau de Chauffage urbain,276.0,2476.4,1321.2,Légère,H1a,1.0,5.0
2675E0052456Q,2026-01-08,,1948-1974,appartement,D,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,44.0,2.5,insuffisante,insuffisante,bonne,très bonne,17682.7,10808.1,Réseau de Chauffage urbain,198.0,1507.6,800.7,Très lourde,H1a,1.0,10.0
2675E0073139D,2026-01-12,,avant 1948,appartement,D,B,43 Rue du Simplon 75018 Paris,75018,Paris,652208.95,6866227.89,35.6,2.8,insuffisante,moyenne,bonne,très bonne,63.9,9.1,Électricité,196.0,273.0,856.1,Légère,H1a,1.0,
2675E0004078Y,2026-01-02,,avant 1948,appartement,E,D,62 Rue du Dessous des Berges 75013 Paris,75013,Paris,654022.35,6858819.47,28.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,23904.0,11877.2,Réseau de Chauffage urbain,319.0,1188.9,988.5,Lourde,H1a,1.0,6.0
2675E0047402G,2026-01-08,,1975-1977,appartement,E,D,28t Rue Guersant 75017 Paris,75017,Paris,647886.82,6864851.24,44.3,2.5,très bonne,moyenne,insuffisante,très bonne,94.7,15.8,Gaz naturel,255.0,2188.6,1201.6,Lourde,H1a,1.0,
2675E0052622A,2026-01-08,,1948-1974,appartement,D,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,41.0,2.5,insuffisante,insuffisante,bonne,très bonne,17682.7,10808.1,Réseau de Chauffage urbain,200.0,1419.3,753.3,Très lourde,H1a,1.0,10.0
2675E0062952I,2026-01-09,1983.0,1983-1988,appartement,D,D,124 Rue de l'Ouest 75014 Paris,75014,Paris,649658.08,6859471.31,26.0,2.5,bonne,bonne,moyenne,insuffisante,49.9,9.0,Gaz naturel,245.0,1302.2,855.1,Lourde,H1a,1.0,
2675E0004088I,2026-01-02,1963.0,1948-1974,appartement,C,C,16 Rue Lacépède 75005 Paris,75005,Paris,652529.22,6860605.43,30.0,2.5,moyenne,insuffisante,bonne,moyenne,2517.1,350.3,Réseau de Chauffage urbain,167.0,891.6,463.5,Légère,H1a,1.0,9.0
2675E0039952S,2026-01-07,,1983-1988,appartement,C,C,26 Rue du Borrégo 75020 Paris,75020,Paris,656021.77,6863827.2,25.2,2.5,insuffisante,insuffisante,moyenne,très bonne,33.6,4.3,Réseau de Chauffage urbain,111.0,452.2,266.1,Légère,H1a,1.0,
2675E0041169N,2026-01-07,,1978-1982,appartement,D,B,158 Rue des Pyrénées 75020 Paris,75020,Paris,656055.91,6862419.71,25.9,2.5,insuffisante,insuffisante,bonne,très bonne,49.5,6.8,Électricité,238.0,233.1,791.5,Très lourde,H1a,1.0,
2675E0034156U,2026-01-07,,avant 1948,appartement,G,C,16 Passage Saint-Pierre Amelot 75011 Paris,75011,Paris,653820.75,6862715.21,15.5,2.7,insuffisante,insuffisante,insuffisante,très bonne,128.4,50.8,Électricité,684.0,427.0,1220.3,Moyenne,H1a,1.0,
2675E0021781V,2026-01-06,,1975-1977,appartement,E,B,1 Rue Duhesme 75018 Paris,75018,Paris,651361.51,6865795.03,40.5,2.5,insuffisante,insuffisante,moyenne,insuffisante,86.5,15.8,Électricité,253.0,400.2,1200.8,Moyenne,H1a,1.0,
2675E0041064M,2026-01-07,,1989-2000,appartement,C,A,31 Avenue de Laumière 75019 Paris,75019,Paris,654543.65,6865072.38,30.0,2.5,insuffisante,moyenne,moyenne,très bonne,33.9,2.4,Électricité,153.0,168.3,645.4,Lourde,H1a,1.0,
2375E0628756X,2023-02-17,1945.0,avant 1948,appartement,G,C,30 Avenue Secrétan 75019 Paris,75019,Paris,653984.06,6864783.01,33.7,2.7,insuffisante,insuffisante,très bonne,très bonne,161.1,110.9,Électricité,464.5,606.6,1391.0,Légère,H1a,1.0,1.0
2675E0049932O,2026-01-08,,avant 1948,appartement,C,B,112 Rue de la Roquette 75011 Paris,75011,Paris,654389.48,6862051.96,15.9,2.5,très bonne,insuffisante,insuffisante,très bonne,30.7,6.9,Électricité,238.0,142.2,536.2,Légère,H1a,1.0,
2675E0004408Q,2026-01-02,1962.0,1948-1974,immeuble,E,E,9 Rue Messidor 75012 Paris,75012,Paris,656189.62,6860201.64,,2.5,insuffisante,insuffisante,bonne,insuffisante,3044.4,861.1,Gaz naturel,297.7,52027.2,21478.0,Lourde,H1a,,4.0
2675E0003084S,2026-01-02,,avant 1948,appartement,G,C,4 Rue Antoine Roucher 75016 Paris,75016,Paris,646548.38,6861023.79,50.6,3.0,insuffisante,insuffisante,insuffisante,très bonne,277.6,134.1,Électricité,553.0,1140.7,3028.1,Moyenne,H1a,1.0,
2675E0073876M,2026-01-12,,avant 1948,appartement,E,C,36 Rue d'Aubervilliers 75019 Paris,75019,Paris,653540.06,6865304.75,29.9,2.6,insuffisante,insuffisante,insuffisante,très bonne,89.1,43.3,Électricité,316.0,374.7,1101.5,Légère,H1a,1.0,
2675E0030737H,2026-01-07,,avant 1948,appartement,G,C,31 Boulevard de Charonne 75011 Paris,75011,Paris,655842.71,6861381.52,21.3,2.6,insuffisante,insuffisante,bonne,très bonne,170.5,76.2,Électricité,714.0,619.1,1701.1,Légère,H1a,1.0,
2675E0031607T,2026-01-07,,avant 1948,appartement,D,D,149 Rue de Belleville 75019 Paris,75019,Paris,655282.03,6864115.31,74.6,2.7,insuffisante,insuffisante,bonne,très bonne,247.6,114.2,Gaz naturel,192.0,3031.1,1646.8,Moyenne,H1a,1.0,
2175E0474444T,2021-10-11,1948.0,1948-1974,appartement,E,E,42 Rue de Cronstadt 75015 Paris,75015,Paris,648689.41,6859476.25,53.2,2.6,insuffisante,insuffisante,insuffisante,très bonne,105.9,13.3,Électricité,238.8,2781.2,829.6,Moyenne,H1a,1.0,
2575E1200555G,2025-04-08,1969.0,1948-1974,appartement,C,C,9 Rue des Périchaux 75015 Paris,75015,Paris,648436.51,6859170.37,58.0,2.5,insuffisante,insuffisante,bonne,insuffisante,33053.9,13690.3,Réseau de Chauffage urbain,176.7,1342.7,946.3,Moyenne,H1a,1.0,16.0
2675E0001344U,2026-01-02,,avant 1948,appartement,F,C,15 Rue Bénard 75014 Paris,75014,Paris,650309.26,6859236.63,30.7,2.7,moyenne,insuffisante,insuffisante,très bonne,116.5,51.6,Électricité,431.0,525.3,1494.2,Moyenne,H1a,1.0,
2675E0074074C,2026-01-12,,1989-2000,appartement,C,C,36 Rue de la Croix Nivert 75015 Paris,75015,Paris,648555.62,6860919.11,81.6,2.5,insuffisante,moyenne,bonne,moyenne,2515.6,569.7,Réseau de Chauffage urbain,160.0,2153.7,1218.4,Lourde,H1a,1.0,8.0
2675E0022431V,2026-01-06,,avant 1948,appartement,F,E,5 Villa Flore 75016 Paris,75016,Paris,646150.51,6861353.62,25.7,2.9,insuffisante,insuffisante,insuffisante,insuffisante,73.6,21.2,Gaz naturel,451.0,1414.8,1181.6,Légère,H1a,1.0,
2675E0073878O,2026-01-12,,avant 1948,appartement,G,F,209 Avenue Daumesnil 75012 Paris,75012,Paris,655850.63,6860022.74,43.2,2.8,insuffisante,insuffisante,très bonne,très bonne,210.5,110.0,Gaz naturel,428.0,3501.2,1907.0,Moyenne,H1a,1.0,
2675E0002390A,2026-01-02,,avant 1948,appartement,E,B,12 Rue de Castellane 75008 Paris,75008,Paris,650455.67,6863822.65,92.2,2.8,insuffisante,insuffisante,bonne,très bonne,192.8,93.8,Électricité,255.0,939.1,2561.8,Moyenne,H1a,1.0,
2675E0052415B,2026-01-08,,1948-1974,appartement,D,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,41.0,2.5,insuffisante,insuffisante,bonne,très bonne,17682.7,10808.1,Réseau de Chauffage urbain,200.0,1419.3,753.3,Très lourde,H1a,1.0,10.0
2675E0002129Z,2026-01-02,,avant 1948,appartement,E,B,3 Rue Bezout 75014 Paris,75014,Paris,651024.4,6858971.12,42.4,2.7,moyenne,insuffisante,moyenne,très bonne,124.7,51.3,Électricité,273.0,457.5,1321.6,Lourde,H1a,1.0,
2675E0018649J,2026-01-05,2000.0,1989-2000,appartement,C,C,8 Rue du Texel 75014 Paris,75014,Paris,650070.09,6859858.72,31.4,2.5,moyenne,moyenne,moyenne,moyenne,1548.1,332.8,Réseau de Chauffage urbain,182.0,525.0,709.6,Très lourde,H1a,1.0,5.0
2675E0081534A,2026-01-12,,avant 1948,appartement,D,B,20 Rue Jean Nicot 75007 Paris,75007,Paris,649184.64,6862473.68,30.8,2.6,bonne,insuffisante,bonne,très bonne,66.3,17.2,Électricité,244.0,292.6,908.6,Moyenne,H1a,1.0,
2675E0006571V,2026-01-04,,avant 1948,appartement,F,C,13 Rue Jeanne Hachette 75015 Paris,75015,Paris,648533.55,6860293.15,46.5,3.0,insuffisante,insuffisante,bonne,insuffisante,163.6,63.7,Électricité,344.0,644.1,1780.9,Moyenne,H1a,1.0,
2675E0030389X,2026-01-07,,avant 1948,appartement,F,C,50 Rue Broca 75005 Paris,75005,Paris,652083.98,6859927.45,7.3,2.8,insuffisante,insuffisante,bonne,très bonne,42.9,10.9,Électricité,732.0,206.7,690.9,Légère,H1a,1.0,
